name,company,region,payment_type,price
"('Термос пищевой круглый 2 в 1 (20л/7л)  Иран',)","Компания ""Green Garden""",Алматы,"Безналичный расчет, Наличными",6000,"['+7 (702) 338-88-37', '+7 (727) 251-63-06', '+7 (727) 385-06-72', '+7 (727) 385-06-84', '+7 (777) 236-03-90']"
"('Термос бутылочка 0,5 л Кролик',)","Интернет магазин ""Ehwaz""",Алматы,"Наложенный платеж, Безналичный расчет",3200,['+7 (747) 555-74-04']
"('Термос 0,35л ',)",Дарын - добрые вещи для добрых людей,Алматы,"Наличными. Только в Алматы., QIWI, пополнение кошелька",1400,"['+7 (727) 224-46-66', '+7 (708) 603-56-26']"
"('Термос домашний ""Кувшин"" 2,5 л.',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",3500,['+7 (747) 164-07-92']
"('Термос ЗУБР ""ЭКСПЕРТ"" туристический, с ручкой, 1000мл                                                                                                 ',)",Интернет-магазин бытовых и строительных инструментов Instrument-zubr,Алматы,"На карту Каз-Ком, Наличными",9163,"['+7 (775) 934-11-77', '+7 (727) 971-33-97', '+7 (727) 302-35-29']"
"('Термос алюминиевый 2 литра',)",Интернет магазин HAPPY-SHOP. Универсальные товары для всей семьи.,Алматы,"Наличными, Безналичный расчет",10500,['+7 (777) 129-32-32']
"('Термос АМЕТ запасная часть: пробка в сборе для термосов ГЕЙЗЕР А (с пневмонасосом) 1с410',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",1818.3,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"(' Вакуумный термос для чая BergHOFF 2 L',)","интернет-магазин  Бытовой техники ""ЭльКо"" ",Караганда,"Каспи банк, QIWI Wallet",4500,"['+7 (771) 153-41-41', '+7 (721) 221-53-41', '+7 (771) 153-41-41', '+7 (700) 921-26-97']"
"('Емкость для жидкости LAPLAYA BUBBLE SAFE',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",4300,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Детский термос (260 мл), розовый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4100,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос классический  с клапаном, 500 мл (зеленый) //PALISAD Camping',)","Protool.kz - продажа электроинструмента, ручные строительные и садовые инструменты",Алматы,"Оплата на карточку Kaspi, Оплата картой Visa, Mastercard - Wooppay",2159,"['+7 (727) 220-77-67', '+7 (727) 220-93-14', '+7 (775) 911-99-99', '+7 (707) 996-03-88', '+7 (708) 623-46-22']"
